category	score	size_bytes	mtime	sha256	source_path	snapshot_path	development_markers
geometry	2	28928	2026-08-17T22:52:16	9cdec4e691fc5c7cd3b40b33dd80c7d702f333f9f2a849ff147ef4c9fc377116	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/development/legacy_v09/scripts/10r3_reuse_pystamps_geometry_bperp_v09.py	files/geometry/10r3_reuse_pystamps_geometry_bperp_v09__9cdec4e691.py	prototype
geometry	2	24255	2026-08-17T22:59:33	0e818c0bf76ba0ab9df55f08ce4ab9b799470a18781a92f53cddff212d028d7c	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/development/legacy_v09/scripts/10r3b_raw_grid_geometry_base_coverage_audit.py	files/geometry/10r3b_raw_grid_geometry_base_coverage_audit__0e818c0bf7.py	prototype
los_timeseries	16	16948	2026-08-24T12:35:17.757740	e58c20b81f921a0e87b19c3614e77b7a2d80f8ea0549530b7e012387bdadf194	/tmp/p15_1_los_sign_convention_audit.sh	files/los_timeseries/p15_1_los_sign_convention_audit__e58c20b81f.sh	P15,p15_
los_timeseries	14	23566	2026-08-24T19:56:38.723817	42b48c5df8926a624b1e2d8851b2015156e0924af84697cd8c4edaac8308fcdb	/tmp/p15_6c_finalize_los_timeseries.py	files/los_timeseries/p15_6c_finalize_los_timeseries__42b48c5df8.py	P15,PASS_FINAL,PASS_STAMPS,p15_,smoke
point_products	8	19565	2026-08-24T20:50:45.869344	d865468fdf65a334345be43985606dbe94d196fcc71749db5d02401293a22a07	/tmp/p15_7a_final_point_products.py	files/point_products/p15_7a_final_point_products__d865468fdf.py	P15,PASS_FINAL,p15_,smoke
point_products	4	3551	2026-08-24T21:22:27.721344	b0f17431ac7584a493e9b3df3b1f3e226cfec654af7ebb5cbd7897be05f93fbb	/tmp/p15_7b2_radar_rasterize.py	files/point_products/p15_7b2_radar_rasterize__b0f17431ac.py	P15,p15_
point_products	2	20194	2026-08-20T22:53:11	0ce08ccedd6f948d42169ccd7b79141a528d4f158d44e50cb0882d10f3d8e21d	/tmp/pypsds_portable_v1_bundle_20260821_062314/source/pypsds/stages/apply_reference.py	files/point_products/apply_reference__0ce08ccedd.py	
point_products	2	16777	2026-08-17T12:42:46	54d3ec05e0c820c5d86aab0ea13b720eae65e79ea6a9a6890d134b1e9c1a4849	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/development/legacy_v09/scripts/09c_apply_reference_region_v09.py	files/point_products/09c_apply_reference_region_v09__54d3ec05e0.py	prototype
point_products	2	16772	2026-08-20T19:12:39	aa7c69144484e6460231bb0e48255a8aad7f6fb6e68ddc31bf9c6a4c4a6fbf07	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/scripts/apply_reference.py	files/point_products/apply_reference__aa7c691444.py	
point_products	1	41409	2026-08-23T18:27:43.904048	02cd1f5b68aebeb4f8a5a1fb2b64f6954e9943e65e949b6e24d4d04999ea4312	/home/ubuntu/software/pyPSDS-GAMMA-v1.0/pypsds/pipeline.py	files/point_products/pipeline__02cd1f5b68.py	
